order_id,order_key,organisation_id,status,total,completed_date,job_id
9125,wc_order_XseBJVfjEd5Nx,1843,completed,626.56,2022-05-26 12:30:54,
9126,wc_order_QQuTg7Z3gGpjM,1843,completed,1049.4,2022-05-26 12:30:29,
9130,wc_order_HLJdurWaO9Aq4,486,completed,594.0,2022-05-18 13:29:45,818
9133,wc_order_suMWVTnTfJLyb,837,completed,506.0,2022-05-18 14:39:18,757
9135,wc_order_YeHV2u098Qs5y,467,completed,668.8,2022-05-19 09:05:15,808
9149,wc_order_PtJDEMVKMrcsD,1174,completed,377.63,2022-05-31 14:10:32,
9176,wc_order_On3M1qQ3c6VSZ,837,completed,1400.0,2022-05-19 11:53:31,
9179,wc_order_uHlHMfzYyCSlo,301,completed,7018.0,2022-05-19 12:21:39,
9182,wc_order_bPS4Dn19HApiQ,101,completed,334.4,2022-05-26 14:14:33,874
9209,wc_order_VXpe1gg0mxcUf,1570,completed,286.0,2022-06-09 17:57:34,877
9210,wc_order_ATxKx1dt7ODPm,3,completed,108.9,2022-05-20 10:02:22,866
9214,wc_order_qX00IfEhNS2GH,2465,completed,742.5,2022-05-27 11:39:21,872
9215,wc_order_lF0Pw3XuLJ6cb,1835,completed,1512.5,2022-06-24 14:36:18,878
9216,wc_order_FhvCW3xW20MUW,2408,completed,1001.0,2022-05-20 17:01:25,853
9217,wc_order_KLVAqLm3EJy1a,2575,completed,5710.22,2022-05-24 08:58:00,
9227,wc_order_bx9XI6s0QDdC1,2648,completed,269.5,2022-05-24 14:52:08,860
9228,wc_order_HLj7JXKySGxQB,1574,completed,1100.0,2022-06-29 15:57:05,879
9231,wc_order_gUebKxKoLSSZG,2649,completed,170.5,2022-05-24 16:31:45,862
9232,wc_order_cF8xxKq60oMSw,340,completed,924.0,2022-05-24 16:30:34,856
9234,wc_order_OAuhtm7T5I4Ep,2624,completed,3712.5,2022-05-27 11:38:26,861
9235,wc_order_NoO1JCzNXUpEh,2499,completed,616.0,2022-06-08 16:50:30,880
9237,wc_order_XnlRNqT3fXA1g,2497,completed,220.0,2022-06-08 16:01:08,882
9241,wc_order_6NzeD3N03BjbZ,1843,completed,1063.15,2022-05-26 12:30:26,
9245,wc_order_6JdwKpww0Nnf3,413,completed,4377.43,2022-05-26 15:00:00,
9250,wc_order_TRaW1RCWuJ3xV,201,completed,1673.51,2022-06-09 13:05:04,
9253,wc_order_uRgQrRyzDIdk9,152,completed,346.5,2022-06-21 15:30:07,883
9254,wc_order_Lc6GhfDEIg8fn,1596,completed,1100.0,2022-05-30 14:33:05,854
9255,wc_order_LixvhU8QNLd9K,1571,completed,528.0,2022-06-09 15:22:00,884
9267,wc_order_t8QbNPMDWIHnt,2647,completed,968.0,2022-06-02 15:12:39,859
9274,wc_order_2667amROgFWvb,292,completed,528.0,2022-06-22 17:19:06,886
9278,wc_order_vozGMsERIS2Q1,1666,completed,804.02,2022-06-06 13:41:50,
9279,wc_order_AOAXhM3LmwlvD,1721,completed,573.1,2022-06-01 09:04:23,
9280,wc_order_t3G7gkLsohDPd,1769,completed,234.52,2022-06-01 09:11:18,
9281,wc_order_FkGEcgUdwbY8i,9,completed,2981.4,2022-06-01 09:57:11,
9282,wc_order_LjDtybWVsgp47,2470,completed,836.0,2022-06-09 16:29:35,892
9283,wc_order_aU32ZCfPmVNrQ,222,completed,1672.0,2022-07-19 16:52:32,888
9284,wc_order_wB47MKIOscUbM,137,completed,1335.4,2022-06-02 13:24:39,834
9285,wc_order_A4phoFd8BGQOb,1843,pending,626.56,,
9296,wc_order_kM1FWU8l0EXXv,2652,completed,115.5,2022-06-20 15:23:05,887
9297,wc_order_qZttJOihSikIu,162,completed,308.0,2022-06-02 13:40:51,871
9306,wc_order_tbUy4YljeRb9n,214,completed,932.8,2022-06-03 15:45:21,870
9308,wc_order_xsUftx8d4bvpt,318,completed,209.0,2022-06-16 11:46:06,855
9309,wc_order_sYhL7vpGoD5ia,2654,completed,1379.4,2022-06-03 23:15:29,
9311,wc_order_rofAVJsH26hvE,672,completed,2277.55,2022-08-17 17:50:39,889
9316,wc_order_3VCF7zInVBHEm,807,completed,1056.0,2022-07-19 15:20:47,890
9329,wc_order_3CBZr4QomDZsQ,317,completed,1324.4,2022-07-21 12:20:05,891
9355,wc_order_UUKz0EUKlNtA6,2421,completed,1144.0,2022-06-06 18:34:38,865
9357,wc_order_GpppkPybP86VO,1523,completed,620.79,2022-06-21 09:01:26,
9358,wc_order_T9LQTdBtkPc4Y,2411,completed,792.0,2022-06-07 16:11:25,848
9359,wc_order_mgLPykzGa6yXp,38,completed,1991.0,2022-11-22 13:41:08,893
9360,wc_order_7d4WmXKsjZs8f,288,completed,691.9,2022-06-14 11:04:10,
9367,wc_order_T7eBnlA4hAsi5,2629,completed,3399.78,2022-06-14 10:53:45,
9368,wc_order_FNqDCtsn0JmYv,1600,completed,2112.0,2022-06-09 15:18:45,814
9372,wc_order_LbbhrfsA3Pesj,2575,completed,154.0,2022-06-09 16:20:27,857
9374,wc_order_UoJy79lDK9tjd,81,completed,731.5,2022-07-12 15:49:26,894
9384,wc_order_uZEvp6wpqsOm7,241,completed,1056.0,2022-09-06 15:27:42,895
